DATAFLOW,LAST UPDATE,freq,age,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Iceland,2019,0.73,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Iceland,2020,0.83,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Iceland,2021,0.89,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Iceland,2022,1.78,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Iceland,2023,1.72,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Italy,2015,1.81,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Italy,2016,1.88,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Italy,2017,1.84,d,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Italy,2018,0.79,d,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Italy,2019,1.40,d,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Italy,2020,0.77,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Italy,2021,1.94,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Italy,2022,2.46,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Italy,2023,1.27,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Liechtenstein,2015,6.53,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Liechtenstein,2016,8.89,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Liechtenstein,2017,42.42,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Liechtenstein,2018,7.60,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Liechtenstein,2019,6.63,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Liechtenstein,2020,4.95,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Liechtenstein,2021,2.60,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Liechtenstein,2022,3.93,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Lithuania,2015,0.55,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Lithuania,2016,0.24,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Lithuania,2017,0.00,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Lithuania,2018,0.00,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Lithuania,2019,0.00,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Lithuania,2020,0.00,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Lithuania,2021,0.00,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Lithuania,2022,0.00,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Lithuania,2023,0.00,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Luxembourg,2015,5.48,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Luxembourg,2016,0.19,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Luxembourg,2017,4.34,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Luxembourg,2018,2.96,,
ESTAT:EDUC_UOE_ENRA27(1.0),11/09/25 23:00:00,Annual,14 years,Females,Percentage,Luxembourg,2019,4.23,,
