DATAFLOW,LAST UPDATE,freq,sex,age,isced11,training,geo,unit,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LFSO_24EAB01$DEFAULTVIEW(1.0),15/12/25 11:00:00,Annual,Females,From 15 to 24 years,"Less than primary, primary and lower secondary education (levels 0-2)",Formal education or training abandoned (one or more),Sweden,Percentage,2024,,u,
ESTAT:LFSO_24EAB01$DEFAULTVIEW(1.0),15/12/25 11:00:00,Annual,Females,From 15 to 24 years,"Less than primary, primary and lower secondary education (levels 0-2)",Formal education or training abandoned (one or more),Sweden,Thousand persons,2024,,u,
ESTAT:LFSO_24EAB01$DEFAULTVIEW(1.0),15/12/25 11:00:00,Annual,Females,From 15 to 24 years,"Less than primary, primary and lower secondary education (levels 0-2)",Formal education or training abandoned (one or more),Slovenia,Percentage,2024,6.3,u,
ESTAT:LFSO_24EAB01$DEFAULTVIEW(1.0),15/12/25 11:00:00,Annual,Females,From 15 to 24 years,"Less than primary, primary and lower secondary education (levels 0-2)",Formal education or training abandoned (one or more),Slovenia,Thousand persons,2024,3.0,u,
ESTAT:LFSO_24EAB01$DEFAULTVIEW(1.0),15/12/25 11:00:00,Annual,Females,From 15 to 24 years,"Less than primary, primary and lower secondary education (levels 0-2)",Formal education or training abandoned (one or more),Slovakia,Percentage,2024,6.2,u,
ESTAT:LFSO_24EAB01$DEFAULTVIEW(1.0),15/12/25 11:00:00,Annual,Females,From 15 to 24 years,"Less than primary, primary and lower secondary education (levels 0-2)",Formal education or training abandoned (one or more),Slovakia,Thousand persons,2024,8.0,u,
ESTAT:LFSO_24EAB01$DEFAULTVIEW(1.0),15/12/25 11:00:00,Annual,Females,From 15 to 24 years,"Less than primary, primary and lower secondary education (levels 0-2)",No formal education or training abandoned,Austria,Percentage,2024,79.2,,
ESTAT:LFSO_24EAB01$DEFAULTVIEW(1.0),15/12/25 11:00:00,Annual,Females,From 15 to 24 years,"Less than primary, primary and lower secondary education (levels 0-2)",No formal education or training abandoned,Austria,Thousand persons,2024,136.8,,
ESTAT:LFSO_24EAB01$DEFAULTVIEW(1.0),15/12/25 11:00:00,Annual,Females,From 15 to 24 years,"Less than primary, primary and lower secondary education (levels 0-2)",No formal education or training abandoned,Belgium,Percentage,2024,88.4,,
ESTAT:LFSO_24EAB01$DEFAULTVIEW(1.0),15/12/25 11:00:00,Annual,Females,From 15 to 24 years,"Less than primary, primary and lower secondary education (levels 0-2)",No formal education or training abandoned,Belgium,Thousand persons,2024,238.9,,
ESTAT:LFSO_24EAB01$DEFAULTVIEW(1.0),15/12/25 11:00:00,Annual,Females,From 15 to 24 years,"Less than primary, primary and lower secondary education (levels 0-2)",No formal education or training abandoned,Bulgaria,Percentage,2024,97.1,,
